,사업정보,,,,,,,,,,,,,,,,,예산현액,,,,,,,,,,,이월액상세,,,,선택차수편성액,재배정,예산배정,,자금배정,지출,,,,,,배정잔액(A-B),지출잔액(A-C),분야/부문,,보조금,,,,,,다음년도이월,,일상경비,,사업형태
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,원인행위액,,,지출액(C),,,,,,,,,,,,,,,,,
,회계연도,회계구분코드,회계구분,부서코드,부서명,정책사업코드,정책사업명,단위사업코드,단위사업명,세부사업코드,세부사업명,통계목,관리사업코드,관리사업명,재원구분코드,재원,사업구분,계,편성액,당초,추경,성립전,기금계획변경,간주예산,예산변경,관리사업변경,예비비,수입대체경비,이월액계,명시이월액,사고이월액,계속비이월액,,,배정액,유보액,자금배정,일반,예비비,계,일반,예비비,계,,,분야,부문,구분,법정여부,소관,국고사업명,확정내시액(국비),확정내시액(시도비),다음년도이월액,자금없는이월액,일상경비교부액,일상경비지출액,일상경비지출액
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002025300A3,농식품 바우처 사업,201-01 사무관리비,,,,,,"4,205,000","4,205,000","4,205,000",,,,,,,,,,,,,,,"4,205,000",,"2,100,000","2,100,000",,"2,100,000","2,100,000",,"2,100,000",,"2,105,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002025300A3,농식품 바우처 사업,201-03 행사운영비,,,,,,"3,900,000","3,900,000","3,900,000",,,,,,,,,,,,,,,"3,900,000",,,,,,,,,,"3,900,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002025300A3,농식품 바우처 사업,301-01 사회보장적수혜금(국고보조재원),,,,,,"887,000,000","887,000,000","887,000,000",,,,,,,,,,,,,,,"887,000,000",,"443,500,000","443,500,000",,"443,500,000","443,500,000",,"443,500,000",,"443,500,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,,,,,,보조,"173,000,000","173,000,000",,,,,"173,000,000",,,,,,,,,"173,000,000",,"173,000,000",,,,,,,,,,"173,000,000",보건,보건의료,,,,,,,,,,,신규
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,101-04 기간제근로자등보수,,,,,,"65,549,000","65,549,000",,,,,"65,549,000",,,,,,,,,"65,549,000",,"65,549,000",,,,,,,,,,"65,549,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,201-01 사무관리비,,,,,,"35,451,000","35,451,000",,,,,"35,451,000",,,,,,,,,"35,451,000",,"35,451,000",,,,,,,,,,"35,451,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,201-03 행사운영비,,,,,,"2,000,000","35,451,000",,,,,"2,000,000",,,,,,,,,"2,000,000",,"2,000,000",,,,,,,,,,"2,000,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,401-01 시설비,,,,,,"55,000,000","55,000,000",,,,,"55,000,000",,,,,,,,,"55,000,000",,"55,000,000",,,,,,,,,,"55,000,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,322000020263009D,강남체력인증센터 운영,405-01 자산및물품취득비,,,,,,"15,000,000","15,000,000",,,,,"15,000,000",,,,,,,,,"15,000,000",,"15,000,000",,,,,,,,,,"15,000,000",보건,보건의료,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,,,,,,,,,"266,772,000","266,772,000","266,772,000",,,,,,,,,,,,,,,"202,775,000",,"53,399,400","63,299,400",,"63,299,400","53,399,400",,"53,399,400","63,997,000","213,372,600",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200730114,건강생활실천사업(건강증진),,,,,,보조,"121,380,000","121,380,000","121,380,000",,,,,,,,,,,,,,,"64,380,000",,"20,500,000","30,400,000",,"30,400,000","20,500,000",,"20,500,000","57,000,000","100,880,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200730114,건강생활실천사업(건강증진),201-01 사무관리비,,,,,,"20,380,000","20,380,000","20,380,000",,,,,,,,,,,,,,,"20,380,000",,"10,380,000","10,380,000",,"10,380,000","10,380,000",,"10,380,000",,"10,000,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200730114,건강생활실천사업(건강증진),201-03 행사운영비,,,,,,"96,100,000","96,100,000","96,100,000",,,,,,,,,,,,,,,"40,000,000",,"9,120,000","19,020,000",,"19,020,000","9,120,000",,"9,120,000","56,100,000","86,980,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200730114,건강생활실천사업(건강증진),203-03 시책추진업무추진비,,,,,,"1,900,000","1,900,000","1,900,000",,,,,,,,,,,,,,,"1,000,000",,"1,000,000","1,000,000",,"1,000,000","1,000,000",,"1,000,000","900,000","900,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200730114,건강생활실천사업(건강증진),301-11 행사실비지원금,,,,,,"3,000,000","3,000,000","3,000,000",,,,,,,,,,,,,,,"3,000,000",,,,,,,,,,"3,000,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000202030045,건강증진사업관리 계획 및 운영,,,,,,보조,"15,472,000","15,472,000","15,472,000",,,,,,,,,,,,,,,"8,475,000",,"475,000","475,000",,"475,000","475,000",,"475,000","6,997,000","14,997,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000202030045,건강증진사업관리 계획 및 운영,201-01 사무관리비,,,,,,"9,497,000","9,497,000","9,497,000",,,,,,,,,,,,,,,"4,500,000",,,,,,,,,"4,997,000","9,497,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000202030045,건강증진사업관리 계획 및 운영,201-03 행사운영비,,,,,,"4,000,000","4,000,000","4,000,000",,,,,,,,,,,,,,,"2,000,000",,,,,,,,,"2,000,000","4,000,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000202030045,건강증진사업관리 계획 및 운영,203-03 시책추진업무추진비,,,,,,"475,000","475,000","475,000",,,,,,,,,,,,,,,"475,000",,"475,000","475,000",,"475,000","475,000",,"475,000",,,보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000202030045,건강증진사업관리 계획 및 운영,301-11 행사실비지원금,,,,,,"1,500,000","1,500,000","1,500,000",,,,,,,,,,,,,,,"1,500,000",,,,,,,,,,"1,500,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),,,,,,보조,"129,920,000","129,920,000","129,920,000",,,,,,,,,,,,,,,"129,920,000",,"32,424,400","32,424,400",,"32,424,400","32,424,400",,"32,424,400",,"97,495,600",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),201-01 사무관리비,,,,,,"7,920,000","7,920,000","7,920,000",,,,,,,,,,,,,,,"7,920,000",,"3,960,000","3,960,000",,"3,960,000","3,960,000",,"3,960,000",,"3,960,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),201-03 행사운영비,,,,,,"4,400,000","4,400,000","4,400,000",,,,,,,,,,,,,,,"4,400,000",,"2,200,000","2,200,000",,"2,200,000","2,200,000",,"2,200,000",,"2,200,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),202-01 국내여비,,,,,,"4,800,000","4,800,000","4,800,000",,,,,,,,,,,,,,,"4,800,000",,"400,000","400,000",,"400,000","400,000",,"400,000",,"4,400,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),203-03 시책추진업무추진비,,,,,,"1,200,000","1,200,000","1,200,000",,,,,,,,,,,,,,,"1,200,000",,"600,000","600,000",,"600,000","600,000",,"600,000",,"600,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),301-11 행사실비지원금,,,,,,"720,000","720,000","720,000",,,,,,,,,,,,,,,"720,000",,,,,,,,,,"720,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020031,건강증진사업관리,3220000200930005,영양플러스사업(건강증진),307-01 의료 및 회복비,,,,,,"110,880,000","110,880,000","110,880,000",,,,,,,,,,,,,,,"110,880,000",,"25,264,400","25,264,400",,"25,264,400","25,264,400",,"25,264,400",,"85,615,600",보건,보건의료,,,,,,,,,,,
4,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),,,,,,,,,,,"21,119,661,000","21,119,661,000","21,119,661,000",,,,,,,,,,,,,,,"7,682,843,000",,"5,368,975,610","5,452,338,850",,"5,452,338,850","5,266,262,940",,"5,266,262,940","13,436,818,000","15,853,398,060",기타,기타,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,,,,,,,,,"20,908,048,000","20,908,048,000","20,908,048,000",,,,,,,,,,,,,,,"7,577,646,000",,"5,313,609,100","5,367,532,340",,"5,367,532,340","5,210,896,430",,"5,210,896,430","13,330,402,000","15,697,151,570",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,,,,,,자체,"17,015,816,000","17,015,816,000","17,015,816,000",,,,,,,,,,,,,,,"6,169,264,000",,"4,381,841,050","4,430,550,180",,"4,430,550,180","4,298,226,270",,"4,298,226,270","10,846,552,000","12,717,589,730",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,101-01 보수,,,,,,"10,108,657,000","10,108,657,000","10,108,657,000",,,,,,,,,,,,,,,"3,569,553,000",,"2,495,856,840","2,495,856,840",,"2,495,856,840","2,427,465,300",,"2,427,465,300","6,539,104,000","7,681,191,700",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,101-02 기타직보수,,,,,,"2,870,377,000","2,870,377,000","2,870,377,000",,,,,,,,,,,,,,,"956,793,000",,"629,896,770","639,760,400",,"639,760,400","617,382,470",,"617,382,470","1,913,584,000","2,252,994,530",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,101-03 공무직(무기계약)근로자보수,,,,,,"191,770,000","191,770,000","191,770,000",,,,,,,,,,,,,,,"63,930,000",,"45,484,080","45,484,080",,"45,484,080","42,775,140",,"42,775,140","127,840,000","148,994,860",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,304-01 연금부담금,,,,,,"3,169,641,000","3,169,641,000","3,169,641,000",,,,,,,,,,,,,,,"1,320,689,000",,"1,101,183,970","1,101,183,970",,"1,101,183,970","1,101,183,970",,"1,101,183,970","1,848,952,000","2,068,457,030",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,304-02 국민건강보험금,,,,,,"602,897,000","602,897,000","602,897,000",,,,,,,,,,,,,,,"200,969,000",,"68,953,490","106,222,770",,"106,222,770","68,953,490",,"68,953,490","401,928,000","533,943,510",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002009302CC,인력운영비,304-04 공무직(무기계약)근로자 보험료부담금 등,,,,,,"72,474,000","72,474,000","72,474,000",,,,,,,,,,,,,,,"57,330,000",,"40,465,900","42,042,120",,"42,042,120","40,465,900",,"40,465,900","15,144,000","32,008,100",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002019300E0,동행센터 방문간호사 인력운영비,,,,,,보조,"2,263,167,000","2,263,167,000","2,263,167,000",,,,,,,,,,,,,,,"854,391,000",,"583,841,270","583,841,270",,"583,841,270","571,492,740",,"571,492,740","1,408,776,000","1,691,674,260",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002019300E0,동행센터 방문간호사 인력운영비,101-01 보수,,,,,,"2,263,167,000","2,263,167,000","2,263,167,000",,,,,,,,,,,,,,,"854,391,000",,"583,841,270","583,841,270",,"583,841,270","571,492,740",,"571,492,740","1,408,776,000","1,691,674,260",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230020,보건소결핵관리사업 인력운영비,,,,,,보조,"221,772,000","221,772,000","221,772,000",,,,,,,,,,,,,,,"73,924,000",,"52,958,550","53,701,630",,"53,701,630","52,474,030",,"52,474,030","147,848,000","169,297,970",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230020,보건소결핵관리사업 인력운영비,101-02 기타직보수,,,,,,"221,772,000","221,772,000","221,772,000",,,,,,,,,,,,,,,"73,924,000",,"52,958,550","53,701,630",,"53,701,630","52,474,030",,"52,474,030","147,848,000","169,297,970",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002021300A9,정신건강국시비사업 인력운영비,,,,,,보조,"176,051,000","176,051,000","176,051,000",,,,,,,,,,,,,,,"58,691,000",,"33,888,790","34,293,740",,"34,293,740","33,291,230",,"33,291,230","117,360,000","142,759,770",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002021300A9,정신건강국시비사업 인력운영비,101-02 기타직보수,,,,,,"176,051,000","176,051,000","176,051,000",,,,,,,,,,,,,,,"58,691,000",,"33,888,790","34,293,740",,"34,293,740","33,291,230",,"33,291,230","117,360,000","142,759,770",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230023,정신건강시비사업 인력운영비,,,,,,보조,"736,112,000","736,112,000","736,112,000",,,,,,,,,,,,,,,"245,376,000",,"162,067,010","164,311,230",,"164,311,230","157,656,280",,"157,656,280","490,736,000","578,455,720",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230023,정신건강시비사업 인력운영비,101-02 기타직보수,,,,,,"736,112,000","736,112,000","736,112,000",,,,,,,,,,,,,,,"245,376,000",,"162,067,010","164,311,230",,"164,311,230","157,656,280",,"157,656,280","490,736,000","578,455,720",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,322000020223002A,지역정신건강관리사업 인력운영비,,,,,,보조,"87,722,000","87,722,000","87,722,000",,,,,,,,,,,,,,,"36,552,000",,"25,683,220","26,029,410",,"26,029,410","25,279,460",,"25,279,460","51,170,000","62,442,540",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,322000020223002A,지역정신건강관리사업 인력운영비,101-02 기타직보수,,,,,,"87,722,000","87,722,000","87,722,000",,,,,,,,,,,,,,,"36,552,000",,"25,683,220","26,029,410",,"26,029,410","25,279,460",,"25,279,460","51,170,000","62,442,540",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,322000020223001F,자살예방사업 인력운영비,,,,,,보조,"92,122,000","92,122,000","92,122,000",,,,,,,,,,,,,,,"30,714,000",,"12,589,550","12,589,550",,"12,589,550","12,589,550",,"12,589,550","61,408,000","79,532,450",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,322000020223001F,자살예방사업 인력운영비,101-02 기타직보수,,,,,,"92,122,000","92,122,000","92,122,000",,,,,,,,,,,,,,,"30,714,000",,"12,589,550","12,589,550",,"12,589,550","12,589,550",,"12,589,550","61,408,000","79,532,450",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230021,지역사회중심재활사업 인력운영비,,,,,,보조,"37,338,000","37,338,000","37,338,000",,,,,,,,,,,,,,,"12,450,000",,"5,802,980","5,944,870",,"5,944,870","5,802,980",,"5,802,980","24,888,000","31,535,020",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230021,지역사회중심재활사업 인력운영비,101-02 기타직보수,,,,,,"37,338,000","37,338,000","37,338,000",,,,,,,,,,,,,,,"12,450,000",,"5,802,980","5,944,870",,"5,944,870","5,802,980",,"5,802,980","24,888,000","31,535,020",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230096,정신건강복지센터 자살예방사업 인력확충 인력운영비,,,,,,보조,"43,584,000","43,584,000","43,584,000",,,,,,,,,,,,,,,"18,160,000",,"7,786,540","8,333,390",,"8,333,390","7,786,540",,"7,786,540","25,424,000","35,797,460",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202230096,정신건강복지센터 자살예방사업 인력확충 인력운영비,101-02 기타직보수,,,,,,"43,584,000","43,584,000","43,584,000",,,,,,,,,,,,,,,"18,160,000",,"7,786,540","8,333,390",,"8,333,390","7,786,540",,"7,786,540","25,424,000","35,797,460",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002023301C3,생애초기 건강관리사업 인력운영비,,,,,,보조,"199,549,000","199,549,000","199,549,000",,,,,,,,,,,,,,,"66,517,000",,"43,790,430","44,475,690",,"44,475,690","43,419,390",,"43,419,390","133,032,000","156,129,610",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,32200002023301C3,생애초기 건강관리사업 인력운영비,101-02 기타직보수,,,,,,"199,549,000","199,549,000","199,549,000",,,,,,,,,,,,,,,"66,517,000",,"43,790,430","44,475,690",,"44,475,690","43,419,390",,"43,419,390","133,032,000","156,129,610",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202430088,지역재난의료지원센터 인력운영비,,,,,,보조,"34,815,000","34,815,000","34,815,000",,,,,,,,,,,,,,,"11,607,000",,"3,359,710","3,461,380",,"3,461,380","2,877,960",,"2,877,960","23,208,000","31,937,040",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920061,인력운영비,3220000202430088,지역재난의료지원센터 인력운영비,101-02 기타직보수,,,,,,"34,815,000","34,815,000","34,815,000",,,,,,,,,,,,,,,"11,607,000",,"3,359,710","3,461,380",,"3,461,380","2,877,960",,"2,877,960","23,208,000","31,937,040",기타,기타,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,,,,,,,,,"211,613,000","211,613,000","211,613,000",,,,,,,,,,,,,,,"105,197,000",,"55,366,510","84,806,510",,"84,806,510","55,366,510",,"55,366,510","106,416,000","156,246,490",기타,기타,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,,,,,,자체,"211,613,000","211,613,000","211,613,000",,,,,,,,,,,,,,,"105,197,000",,"55,366,510","84,806,510",,"84,806,510","55,366,510",,"55,366,510","106,416,000","156,246,490",기타,기타,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,201-01 사무관리비,,,,,,"147,201,000","147,201,000","147,201,000",,,,,,,,,,,,,,,"75,605,000",,"33,590,000","63,030,000",,"63,030,000","33,590,000",,"33,590,000","71,596,000","113,611,000",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,201-02 공공운영비,,,,,,"28,496,000","28,496,000","28,496,000",,,,,,,,,,,,,,,"14,252,000",,"9,090,000","9,090,000",,"9,090,000","9,090,000",,"9,090,000","14,244,000","19,406,000",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,202-01 국내여비,,,,,,"14,616,000","14,616,000","14,616,000",,,,,,,,,,,,,,,"6,090,000",,"4,872,000","4,872,000",,"4,872,000","4,872,000",,"4,872,000","8,526,000","9,744,000",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,203-01 기관운영업무추진비,,,,,,"4,500,000","4,500,000","4,500,000",,,,,,,,,,,,,,,"2,250,000",,"2,250,000","2,250,000",,"2,250,000","2,250,000",,"2,250,000","2,250,000","2,250,000",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,203-04 부서운영업무추진비,,,,,,"4,800,000","4,800,000","4,800,000",,,,,,,,,,,,,,,"2,000,000",,"1,600,000","1,600,000",,"1,600,000","1,600,000",,"1,600,000","2,800,000","3,200,000",기타,기타,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910025,행정운영경비(보건행정과),3220000200920063,기본경비,32200002009302D0,기본경비,204-01 직책급업무수행경비,,,,,,"12,000,000","12,000,000","12,000,000",,,,,,,,,,,,,,,"5,000,000",,"3,964,510","3,964,510",,"3,964,510","3,964,510",,"3,964,510","7,000,000","8,035,490",기타,기타,,,,,,,,,,,
